# Generated by scripts/vendor/refresh-unicode-names.py — do not hand-edit.
# Unicode 16.0.0, 26 curated blocks.
# Format: HEX;NAME;GENERAL_CATEGORY;BLOCK_SLUG
00A0;NO-BREAK SPACE;Zs;latin-1-supplement
00A1;INVERTED EXCLAMATION MARK;Po;latin-1-supplement
00A2;CENT SIGN;Sc;latin-1-supplement
00A3;POUND SIGN;Sc;latin-1-supplement
00A4;CURRENCY SIGN;Sc;latin-1-supplement
00A5;YEN SIGN;Sc;latin-1-supplement
00A6;BROKEN BAR;So;latin-1-supplement
00A7;SECTION SIGN;Po;latin-1-supplement
00A8;DIAERESIS;Sk;latin-1-supplement
00A9;COPYRIGHT SIGN;So;latin-1-supplement
00AA;FEMININE ORDINAL INDICATOR;Lo;latin-1-supplement
00AB;LEFT-POINTING DOUBLE ANGLE QUOTATION MARK;Pi;latin-1-supplement
00AC;NOT SIGN;Sm;latin-1-supplement
00AD;SOFT HYPHEN;Cf;latin-1-supplement
00AE;REGISTERED SIGN;So;latin-1-supplement
00AF;MACRON;Sk;latin-1-supplement
00B0;DEGREE SIGN;So;latin-1-supplement
00B1;PLUS-MINUS SIGN;Sm;latin-1-supplement
00B2;SUPERSCRIPT TWO;No;latin-1-supplement
00B3;SUPERSCRIPT THREE;No;latin-1-supplement
00B4;ACUTE ACCENT;Sk;latin-1-supplement
00B5;MICRO SIGN;Ll;latin-1-supplement
00B6;PILCROW SIGN;Po;latin-1-supplement
00B7;MIDDLE DOT;Po;latin-1-supplement
00B8;CEDILLA;Sk;latin-1-supplement
00B9;SUPERSCRIPT ONE;No;latin-1-supplement
00BA;MASCULINE ORDINAL INDICATOR;Lo;latin-1-supplement
00BB;RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK;Pf;latin-1-supplement
00BC;VULGAR FRACTION ONE QUARTER;No;latin-1-supplement
00BD;VULGAR FRACTION ONE HALF;No;latin-1-supplement
00BE;VULGAR FRACTION THREE QUARTERS;No;latin-1-supplement
00BF;INVERTED QUESTION MARK;Po;latin-1-supplement
00C0;LATIN CAPITAL LETTER A WITH GRAVE;Lu;latin-1-supplement
00C1;LATIN CAPITAL LETTER A WITH ACUTE;Lu;latin-1-supplement
00C2;LATIN CAPITAL LETTER A WITH CIRCUMFLEX;Lu;latin-1-supplement
00C3;LATIN CAPITAL LETTER A WITH TILDE;Lu;latin-1-supplement
00C4;LATIN CAPITAL LETTER A WITH DIAERESIS;Lu;latin-1-supplement
00C5;LATIN CAPITAL LETTER A WITH RING ABOVE;Lu;latin-1-supplement
00C6;LATIN CAPITAL LETTER AE;Lu;latin-1-supplement
00C7;LATIN CAPITAL LETTER C WITH CEDILLA;Lu;latin-1-supplement
00C8;LATIN CAPITAL LETTER E WITH GRAVE;Lu;latin-1-supplement
00C9;LATIN CAPITAL LETTER E WITH ACUTE;Lu;latin-1-supplement
00CA;LATIN CAPITAL LETTER E WITH CIRCUMFLEX;Lu;latin-1-supplement
00CB;LATIN CAPITAL LETTER E WITH DIAERESIS;Lu;latin-1-supplement
00CC;LATIN CAPITAL LETTER I WITH GRAVE;Lu;latin-1-supplement
00CD;LATIN CAPITAL LETTER I WITH ACUTE;Lu;latin-1-supplement
00CE;LATIN CAPITAL LETTER I WITH CIRCUMFLEX;Lu;latin-1-supplement
00CF;LATIN CAPITAL LETTER I WITH DIAERESIS;Lu;latin-1-supplement
00D0;LATIN CAPITAL LETTER ETH;Lu;latin-1-supplement
00D1;LATIN CAPITAL LETTER N WITH TILDE;Lu;latin-1-supplement
00D2;LATIN CAPITAL LETTER O WITH GRAVE;Lu;latin-1-supplement
00D3;LATIN CAPITAL LETTER O WITH ACUTE;Lu;latin-1-supplement
00D4;LATIN CAPITAL LETTER O WITH CIRCUMFLEX;Lu;latin-1-supplement
00D5;LATIN CAPITAL LETTER O WITH TILDE;Lu;latin-1-supplement
00D6;LATIN CAPITAL LETTER O WITH DIAERESIS;Lu;latin-1-supplement
00D7;MULTIPLICATION SIGN;Sm;latin-1-supplement
00D8;LATIN CAPITAL LETTER O WITH STROKE;Lu;latin-1-supplement
00D9;LATIN CAPITAL LETTER U WITH GRAVE;Lu;latin-1-supplement
00DA;LATIN CAPITAL LETTER U WITH ACUTE;Lu;latin-1-supplement
00DB;LATIN CAPITAL LETTER U WITH CIRCUMFLEX;Lu;latin-1-supplement
00DC;LATIN CAPITAL LETTER U WITH DIAERESIS;Lu;latin-1-supplement
00DD;LATIN CAPITAL LETTER Y WITH ACUTE;Lu;latin-1-supplement
00DE;LATIN CAPITAL LETTER THORN;Lu;latin-1-supplement
00DF;LATIN SMALL LETTER SHARP S;Ll;latin-1-supplement
00E0;LATIN SMALL LETTER A WITH GRAVE;Ll;latin-1-supplement
00E1;LATIN SMALL LETTER A WITH ACUTE;Ll;latin-1-supplement
00E2;LATIN SMALL LETTER A WITH CIRCUMFLEX;Ll;latin-1-supplement
00E3;LATIN SMALL LETTER A WITH TILDE;Ll;latin-1-supplement
00E4;LATIN SMALL LETTER A WITH DIAERESIS;Ll;latin-1-supplement
00E5;LATIN SMALL LETTER A WITH RING ABOVE;Ll;latin-1-supplement
00E6;LATIN SMALL LETTER AE;Ll;latin-1-supplement
00E7;LATIN SMALL LETTER C WITH CEDILLA;Ll;latin-1-supplement
00E8;LATIN SMALL LETTER E WITH GRAVE;Ll;latin-1-supplement
00E9;LATIN SMALL LETTER E WITH ACUTE;Ll;latin-1-supplement
00EA;LATIN SMALL LETTER E WITH CIRCUMFLEX;Ll;latin-1-supplement
00EB;LATIN SMALL LETTER E WITH DIAERESIS;Ll;latin-1-supplement
00EC;LATIN SMALL LETTER I WITH GRAVE;Ll;latin-1-supplement
